cbsa_code,metro_name,rpp
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",87.057
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",87.690
48140,"Wausau, WI (Metropolitan Statistical Area)",92.651
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",89.024
48300,"Wenatchee-East Wenatchee, WA (Metropolitan Statistical Area)",103.855
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",88.323
48620,"Wichita, KS (Metropolitan Statistical Area)",88.946
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",89.513
48680,"Wildwood-The Villages, FL (Metropolitan Statistical Area)",85.424
48700,"Williamsport, PA (Metropolitan Statistical Area)",92.350
48900,"Wilmington, NC (Metropolitan Statistical Area)",96.422
49020,"Winchester, VA-WV (Metropolitan Statistical Area)",96.450
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",92.043
49340,"Worcester, MA (Metropolitan Statistical Area)",102.523
49420,"Yakima, WA (Metropolitan Statistical Area)",95.545
49620,"York-Hanover, PA (Metropolitan Statistical Area)",96.000
49660,"Youngstown-Warren, OH (Metropolitan Statistical Area)",87.394
49700,"Yuba City, CA (Metropolitan Statistical Area)",104.233
49740,"Yuma, AZ (Metropolitan Statistical Area)",92.706
